timestamp,cpu_user_percent,cpu_system_percent,cpu_idle_percent,load_avg_1min
1754588482,0.4,0.4,99.3,1.28
1754588488,0.1,0.2,99.7,1.17
1754588493,0.0,0.2,99.8,1.07
1754588498,0.1,0.2,99.4,1.15
1754588503,0.0,0.2,99.8,1.14
1754588508,0.1,0.2,99.4,1.04
1754588514,0.1,0.2,99.7,1.12
1754588519,0.1,0.2,98.7,1.03
1754588524,0.3,0.2,99.5,1.11
1754588529,0.3,0.5,98.6,1.42
1754588534,0.6,0.5,98.9,1.47
1754588540,0.4,0.5,98.8,1.43
1754588545,0.4,0.5,98.9,1.48
1754588550,0.3,0.5,98.3,1.44
1754588555,0.5,0.4,98.9,1.32
1754588561,0.6,0.6,98.8,1.30
1754588566,0.6,0.6,98.8,1.19
1754588571,0.4,0.6,98.8,1.18
1754588576,0.3,0.3,99.2,1.40
1754588581,0.2,0.3,98.9,1.37
1754588587,0.2,0.2,99.5,1.26
1754588592,0.9,0.8,98.1,1.24
1754588597,1.8,1.2,96.6,1.22
1754588602,0.9,1.0,97.8,1.20
1754588607,0.6,0.5,98.7,1.19
1754588613,0.5,0.7,98.8,1.08
1754588618,0.5,0.6,98.2,1.15
1754588623,0.6,0.6,98.1,1.38
1754588628,0.5,0.7,98.4,1.27
1754588634,0.6,0.6,98.8,1.25
1754588639,0.6,0.6,98.5,1.31
1754588644,0.6,0.4,98.2,1.28
1754588649,0.6,0.6,98.6,1.26
1754588655,0.5,0.5,99.0,1.24
