timestamp,device,temp_edge_celsius,temp_junction_celsius
1754586319,card5,46.0,40.0
1754586319,card6,50.0,44.0
1754586319,card7,45.0,39.0
1754586319,
1754586324,card0,65.0,73.0
1754586324,card1,48.0,39.0
1754586324,card2,47.0,41.0
1754586324,card3,52.0,44.0
1754586324,card4,49.0,43.0
1754586324,card5,46.0,39.0
1754586324,card6,50.0,44.0
1754586324,card7,45.0,39.0
1754586324,
1754586329,card0,66.0,74.0
1754586329,card1,48.0,39.0
1754586329,card2,47.0,41.0
1754586329,card3,52.0,44.0
1754586329,card4,49.0,43.0
1754586329,card5,46.0,40.0
1754586329,card6,50.0,43.0
1754586329,card7,45.0,39.0
1754586329,
1754586334,card0,66.0,74.0
1754586334,card1,47.0,39.0
1754586334,card2,47.0,41.0
1754586334,card3,51.0,44.0
1754586334,card4,49.0,42.0
1754586334,card5,46.0,39.0
1754586334,card6,49.0,43.0
1754586334,card7,45.0,38.0
1754586334,
1754586339,card0,66.0,74.0
1754586339,card1,47.0,38.0
1754586339,card2,47.0,41.0
1754586339,card3,51.0,43.0
1754586339,card4,48.0,42.0
1754586339,card5,46.0,39.0
1754586339,card6,49.0,43.0
1754586339,card7,45.0,38.0
1754586339,
1754586344,card0,65.0,74.0
1754586344,card1,47.0,38.0
1754586344,card2,46.0,40.0
1754586344,card3,51.0,43.0
1754586344,card4,48.0,42.0
1754586344,card5,45.0,39.0
1754586344,card6,49.0,43.0
1754586344,card7,44.0,38.0
1754586344,
1754586349,card0,65.0,73.0
1754586349,card1,47.0,38.0
1754586349,card2,46.0,40.0
1754586349,card3,50.0,42.0
1754586349,card4,48.0,42.0
1754586349,card5,45.0,38.0
1754586349,card6,48.0,42.0
1754586349,card7,44.0,38.0
1754586349,
1754586355,card0,64.0,73.0
1754586355,card1,46.0,38.0
1754586355,card2,46.0,40.0
1754586355,card3,50.0,42.0
1754586355,card4,47.0,41.0
1754586355,card5,45.0,38.0
1754586355,card6,48.0,42.0
1754586355,card7,44.0,38.0
1754586355,
1754586360,card0,64.0,73.0
1754586360,card1,46.0,37.0
1754586360,card2,46.0,40.0
1754586360,card3,50.0,41.0
1754586360,card4,47.0,41.0
1754586360,card5,45.0,38.0
1754586360,card6,47.0,42.0
1754586360,card7,44.0,37.0
1754586360,
1754586365,card0,64.0,72.0
1754586365,card1,46.0,37.0
1754586365,card2,45.0,39.0
1754586365,card3,49.0,41.0
1754586365,card4,47.0,40.0
1754586365,card5,45.0,38.0
1754586365,card6,47.0,41.0
1754586365,card7,44.0,37.0
1754586365,
1754586370,card0,64.0,72.0
1754586370,card1,46.0,37.0
1754586370,card2,45.0,39.0
1754586370,card3,49.0,41.0
1754586370,card4,46.0,40.0
1754586370,card5,44.0,38.0
1754586370,card6,47.0,41.0
1754586370,card7,43.0,37.0
1754586370,
1754586375,card0,64.0,73.0
1754586375,card1,46.0,37.0
1754586375,card2,45.0,39.0
1754586375,card3,49.0,41.0
1754586375,card4,46.0,40.0
1754586375,card5,44.0,38.0
1754586375,card6,47.0,41.0
1754586375,card7,43.0,37.0
1754586375,
1754586380,card0,64.0,72.0
1754586380,card1,46.0,37.0
1754586380,card2,45.0,39.0
1754586380,card3,49.0,41.0
1754586380,card4,46.0,40.0
1754586380,card5,44.0,38.0
1754586380,card6,47.0,41.0
1754586380,card7,43.0,37.0
1754586380,
1754586386,card0,64.0,73.0
1754586386,card1,46.0,37.0
1754586386,card2,45.0,39.0
1754586386,card3,49.0,41.0
1754586386,card4,46.0,40.0
1754586386,card5,44.0,38.0
1754586386,card6,46.0,41.0
1754586386,card7,43.0,37.0
1754586386,
1754586391,card0,58.0,51.0
1754586391,card1,46.0,37.0
1754586391,card2,45.0,39.0
1754586391,card3,49.0,41.0
1754586391,card4,46.0,40.0
1754586391,card5,44.0,38.0
1754586391,card6,46.0,41.0
1754586391,card7,43.0,37.0
1754586391,
1754586396,card0,56.0,51.0
1754586396,card1,46.0,37.0
1754586396,card2,45.0,39.0
1754586396,card3,49.0,41.0
1754586396,card4,46.0,40.0
1754586396,card5,44.0,38.0
1754586396,card6,47.0,41.0
1754586396,card7,43.0,37.0
1754586396,
1754586401,card0,55.0,48.0
1754586401,card1,46.0,37.0
1754586401,card2,45.0,39.0
1754586401,card3,49.0,41.0
1754586401,card4,46.0,40.0
1754586401,card5,44.0,38.0
1754586401,card6,47.0,41.0
1754586401,card7,44.0,38.0
1754586401,
1754586406,card0,53.0,47.0
1754586406,card1,46.0,37.0
1754586406,card2,45.0,40.0
1754586406,card3,49.0,41.0
1754586406,card4,46.0,40.0
1754586406,card5,45.0,38.0
1754586406,card6,47.0,41.0
1754586406,card7,44.0,37.0
1754586406,
1754586411,card0,53.0,46.0
1754586411,card1,46.0,38.0
1754586411,card2,46.0,40.0
1754586411,card3,49.0,41.0
1754586411,card4,46.0,40.0
1754586411,card5,45.0,38.0
1754586411,card6,47.0,41.0
1754586411,card7,44.0,37.0
1754586411,
1754586416,card0,53.0,46.0
1754586416,card1,46.0,38.0
1754586416,card2,46.0,40.0
1754586416,card3,49.0,41.0
1754586416,card4,47.0,41.0
1754586416,card5,45.0,38.0
1754586416,card6,47.0,42.0
1754586416,card7,44.0,38.0
1754586416,
1754586422,card0,52.0,46.0
1754586422,card1,47.0,38.0
1754586422,card2,46.0,40.0
1754586422,card3,50.0,41.0
1754586422,card4,47.0,41.0
1754586422,card5,45.0,38.0
1754586422,card6,47.0,42.0
1754586422,card7,44.0,38.0
1754586422,
1754586427,card0,52.0,46.0
1754586427,card1,47.0,38.0
1754586427,card2,46.0,40.0
1754586427,card3,50.0,42.0
1754586427,card4,47.0,41.0
1754586427,card5,45.0,38.0
1754586427,card6,47.0,42.0
1754586427,card7,44.0,38.0
1754586427,
1754586432,card0,52.0,45.0
1754586432,card1,47.0,38.0
1754586432,card2,46.0,40.0
1754586432,card3,50.0,42.0
1754586432,card4,47.0,41.0
1754586432,card5,45.0,39.0
1754586432,card6,48.0,42.0
1754586432,card7,44.0,38.0
1754586432,
1754586437,card0,52.0,45.0
1754586437,card1,47.0,38.0
1754586437,card2,46.0,40.0
1754586437,card3,50.0,42.0
1754586437,card4,47.0,42.0
1754586437,card5,45.0,38.0
1754586437,card6,48.0,42.0
1754586437,card7,44.0,38.0
1754586437,
1754586442,card0,52.0,45.0
1754586442,card1,47.0,38.0
1754586442,card2,46.0,40.0
1754586442,card3,50.0,42.0
1754586442,card4,48.0,42.0
1754586442,card5,45.0,39.0
1754586442,card6,48.0,42.0
1754586442,card7,44.0,38.0
1754586442,
1754586447,card0,52.0,45.0
1754586447,card1,47.0,38.0
1754586447,card2,47.0,40.0
1754586447,card3,51.0,43.0
1754586447,card4,48.0,42.0
1754586447,card5,46.0,39.0
1754586447,card6,48.0,42.0
1754586447,card7,45.0,38.0
1754586447,
1754586452,card0,52.0,45.0
1754586452,card1,47.0,38.0
1754586452,card2,47.0,40.0
1754586452,card3,51.0,43.0
1754586452,card4,48.0,42.0
1754586452,card5,46.0,39.0
1754586452,card6,48.0,43.0
1754586452,card7,45.0,38.0
1754586452,
1754586458,card0,52.0,45.0
1754586458,card1,47.0,38.0
1754586458,card2,47.0,41.0
1754586458,card3,51.0,43.0
1754586458,card4,48.0,42.0
1754586458,card5,46.0,39.0
1754586458,card6,48.0,43.0
1754586458,card7,45.0,38.0
1754586458,
1754586463,card0,52.0,46.0
1754586463,card1,47.0,39.0
1754586463,card2,47.0,41.0
1754586463,card3,51.0,43.0
1754586463,card4,48.0,42.0
1754586463,card5,46.0,39.0
1754586463,card6,49.0,43.0
1754586463,card7,45.0,38.0
1754586463,
1754586468,card0,52.0,45.0
1754586468,card1,47.0,39.0
1754586468,card2,47.0,41.0
1754586468,card3,51.0,43.0
1754586468,card4,48.0,42.0
1754586468,card5,46.0,39.0
1754586468,card6,49.0,43.0
1754586468,card7,45.0,39.0
1754586468,
1754586473,card0,52.0,45.0
1754586473,card1,47.0,39.0
1754586473,card2,47.0,41.0
1754586473,card3,51.0,43.0
1754586473,card4,48.0,42.0
1754586473,card5,46.0,39.0
1754586473,card6,49.0,43.0
1754586473,card7,45.0,38.0
1754586473,
1754586478,card0,52.0,45.0
1754586478,card1,47.0,38.0
1754586478,card2,47.0,41.0
1754586478,card3,51.0,43.0
1754586478,card4,48.0,42.0
1754586478,card5,46.0,39.0
1754586478,card6,49.0,43.0
1754586478,card7,45.0,39.0
1754586478,
1754586483,card0,53.0,45.0
1754586483,card1,47.0,39.0
1754586483,card2,47.0,41.0
1754586483,card3,51.0,43.0
1754586483,card4,48.0,42.0
1754586483,card5,46.0,39.0
1754586483,card6,49.0,43.0
1754586483,card7,45.0,38.0
1754586483,
1754586488,card0,53.0,51.0
1754586488,card1,47.0,39.0
1754586488,card2,47.0,41.0
1754586488,card3,51.0,43.0
1754586488,card4,49.0,43.0
1754586488,card5,46.0,39.0
1754586488,card6,49.0,43.0
1754586488,card7,45.0,39.0
1754586488,
1754586494,card0,60.0,49.0
1754586494,card1,48.0,39.0
1754586494,card2,47.0,41.0
1754586494,card3,51.0,44.0
1754586494,card4,49.0,43.0
1754586494,card5,46.0,39.0
1754586494,card6,49.0,43.0
1754586494,card7,45.0,39.0
1754586494,
1754586499,card0,54.0,48.0
1754586499,card1,48.0,39.0
1754586499,card2,47.0,41.0
1754586499,card3,52.0,44.0
1754586499,card4,49.0,43.0
1754586499,card5,46.0,39.0
1754586499,card6,49.0,43.0
1754586499,card7,45.0,39.0
1754586499,
1754586504,card0,54.0,47.0
1754586504,card1,48.0,39.0
1754586504,card2,47.0,41.0
1754586504,card3,52.0,44.0
